Person Name,Description,Wikipedia Link,Instagram,Twitter,Youtube,Homepage
Jennifer Aniston,"Jennifer Aniston is an American actress, film producer, and businesswoman.",https://en.wikipedia.org/wiki/Jennifer_Aniston,//www.instagram.com/jenniferaniston,//www.twitter.com/JenniferAnnistn,,
Chris Hayes,"Chris Hayes is an American political commentator, television news anchor, activist, and author.",https://en.wikipedia.org/wiki/Chris_Hayes,//www.instagram.com/chrislhayes,//www.twitter.com/chrislhayes,,
Chris Hadfield,"Chris Hadfield is a Canadian retired astronaut, engineer, fighter pilot, and musician.",https://en.wikipedia.org/wiki/Chris_Hadfield,//www.instagram.com/colchrishadfield,//www.twitter.com/cmdr_hadfield,,
Chris Do,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/thechrisdo,//www.twitter.com/theChrisDo,,
Celeste Ng,Celeste Ng is an American writer and novelist.,https://en.wikipedia.org/wiki/Celeste_Ng,//www.instagram.com/pronounced_ing,//www.twitter.com/pronounced_ing,,
Carrie Hope Fletcher,"Carrie Hope Fletcher is an English actress, singer-songwriter, author and internet personality.",https://en.wikipedia.org/wiki/Carrie_Hope_Fletcher,//www.instagram.com/carriehopefletcher,,,
Jason Nemer,"As an Amazon Associate, we earn money from purchases made through links in this page.",,//www.instagram.com/jasonnemer,//www.twitter.com/JasonNemer,,
Bryan Callen,"Bryan Callen is an American stand-up comedian, actor, writer and podcaster.",https://en.wikipedia.org/wiki/Bryan_Callen,//www.instagram.com/bryancallen,//www.twitter.com/bryancallen,,
John Collison,John Collison is an Irish billionaire entrepreneur and the co-founder and President of Stripe.,https://en.wikipedia.org/wiki/John_Collison,//www.instagram.com/johncollison,//www.twitter.com/collision,,
Jason Khalipa,Jason Khalipa is a former American professional CrossFit Games athlete and 2008 CrossFit Games champion.,https://en.wikipedia.org/wiki/Jason_Khalipa,//www.instagram.com/jasonkhalipa,//www.twitter.com/JasonKhalipa,,
Brit Marling,Brit Marling is an American actress and screenwriter.,https://en.wikipedia.org/wiki/Brit_Marling,//www.instagram.com/britmarling,//www.twitter.com/britmarling,,
Bob Proctor,Bob Proctor was a Canadian self-help author and lecturer.,https://en.wikipedia.org/wiki/Bob_Proctor_(author),//www.instagram.com/proctorgallagher,//www.twitter.com/bobproctorLIVE,,
